Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
4,MatMulV2,AI_CORE,32689,327673.06,3.1,10.023,613.3,51.081
4,Cast,AI_VECTOR_CORE,4394,102638.58,1.06,23.358,567.44,16
4,ZerosLike,AI_VECTOR_CORE,773,36954.44,1.08,47.806,492.06,5.761
4,Mul,AI_VECTOR_CORE,4286,27219.14,1.12,6.35,24.64,4.243
4,Transpose,AI_VECTOR_CORE,1010,16562.06,9.08,16.398,30.18,2.582
4,Add,AI_VECTOR_CORE,2739,11541.74,1.18,4.213,19.08,1.799
4,IndexPut,AI_CPU,96,11324.64,99.96,117.965,256.7,1.765
4,Sort,AI_CPU,96,10804.86,97.18,112.55,195.28,1.684
4,TransData,AI_VECTOR_CORE,1152,8731.72,3.34,7.579,16.82,1.361
4,Pows,AI_VECTOR_CORE,962,8274.48,1.56,8.601,22.28,1.29
4,Index,AI_VECTOR_CORE,528,6776.7,7.5,12.834,31.96,1.056
4,RealDiv,AI_VECTOR_CORE,1588,6240.14,1.18,3.929,401,0.973
4,ReduceSum,MIX_AIV,823,5965.52,2,7.248,17.8,0.93
4,FlashAttentionScoreGrad,MIX_AIC,48,3998.98,76.52,83.312,88.34,0.623
4,ReduceMean,MIX_AIV,385,3991.14,8.8,10.366,15.64,0.622
4,Muls,AI_VECTOR_CORE,576,3757.3,5.88,6.523,12.76,0.586
4,FlashAttentionScore,MIX_AIC,96,3752.12,36.44,39.084,58.22,0.585
4,Pow,AI_VECTOR_CORE,193,3661.06,11.06,18.969,27.9,0.571
4,MaskedFill,AI_VECTOR_CORE,144,3583.4,21.9,24.884,30.86,0.559
4,BroadcastTo,AI_VECTOR_CORE,387,3072.92,1.46,7.94,35.84,0.479
4,Triu,AI_VECTOR_CORE,96,2894.22,27.72,30.148,70.32,0.451
4,IndexPutV2,AI_VECTOR_CORE,145,2785.28,11.66,19.208,24.22,0.434
4,AsStrided,AI_VECTOR_CORE,384,2389.92,3.66,6.223,20.14,0.373
4,ViewCopy,AI_VECTOR_CORE,192,2286.58,8.74,11.909,21.64,0.356
4,Cumsum,AI_VECTOR_CORE,96,2093.52,18.6,21.807,24.8,0.326
4,Slice,AI_VECTOR_CORE,480,1893.64,2.6,3.945,5.64,0.295
4,MemSet,AI_VECTOR_CORE,193,1763.56,6.1,9.137,14.98,0.275
4,Neg,AI_VECTOR_CORE,338,1648.32,1.28,4.876,10.02,0.257
4,TopKV2,MIX_AIV,96,1507.56,15.08,15.703,16.66,0.235
4,HistogramV2,AI_VECTOR_CORE,96,1439.72,14.14,14.997,18,0.224
4,SoftmaxV2,AI_VECTOR_CORE,96,1275,11.9,13.281,14.7,0.199
4,OnesLike,AI_VECTOR_CORE,96,1247.48,10.56,12.994,36.74,0.194
4,Range,AI_VECTOR_CORE,192,1233.18,4.66,6.422,11.3,0.192
4,ConcatD,AI_VECTOR_CORE,241,1050.52,2.72,4.359,11.94,0.164
4,Lerp,AI_VECTOR_CORE,384,1011.58,1.88,2.634,4.26,0.158
4,Addcdiv,AI_VECTOR_CORE,384,906.24,1.68,2.36,3.74,0.141
4,Addcmul,AI_VECTOR_CORE,384,886.4,1.72,2.308,4.12,0.138
4,Swish,AI_VECTOR_CORE,96,803.42,8.14,8.368,8.94,0.125
4,MatMulV3,MIX_AIC,1,725.28,725.28,725.28,725.28,0.113
4,Rsqrt,AI_VECTOR_CORE,385,577.82,1.22,1.5,3.62,0.09
4,ClipByValueV2,AI_VECTOR_CORE,97,541.86,1.66,5.586,6.02,0.084
4,SiluGrad,AI_VECTOR_CORE,48,532.7,10.68,11.097,15.42,0.083
4,Sqrt,AI_VECTOR_CORE,385,506.46,1.04,1.315,2.44,0.079
4,SoftmaxGrad,AI_VECTOR_CORE,48,471.04,8.7,9.813,11.02,0.073
4,PadV3,AI_CPU,10,455.06,31.42,45.506,69.14,0.071
4,ScatterElementsV2,AI_VECTOR_CORE,49,412.84,7.36,8.425,34.06,0.064
4,TensorMove,AI_VECTOR_CORE,48,378.96,7.42,7.895,11.5,0.059
4,ArgMaxV2,AI_VECTOR_CORE,1,346.66,346.66,346.66,346.66,0.054
4,GreaterEqual,AI_VECTOR_CORE,96,293.46,2.92,3.056,3.3,0.046
4,LinearIndex,AI_VECTOR_CORE,49,287.58,2.66,5.868,7,0.045
4,LogSoftmaxV2,AI_VECTOR_CORE,1,132.92,132.92,132.92,132.92,0.021
4,LogSoftmaxGrad,AI_VECTOR_CORE,1,88.3,88.3,88.3,88.3,0.014
4,Pack,AI_VECTOR_CORE,2,18.46,1.36,9.23,17.1,0.003
4,GatherElementsV2,AI_VECTOR_CORE,1,13.64,13.64,13.64,13.64,0.002
4,Greater,AI_VECTOR_CORE,3,8.1,2.52,2.7,2.98,0.001
4,NotEqual,AI_VECTOR_CORE,3,7.44,2.1,2.48,2.78,0.001
4,GatherV2,AI_VECTOR_CORE,1,7.06,7.06,7.06,7.06,0.001
4,Equal,AI_VECTOR_CORE,3,6.42,1.98,2.14,2.32,0.001
4,NonZero,MIX_AIV,1,5.02,5.02,5.02,5.02,0.001
4,Cos,AI_VECTOR_CORE,1,4.22,4.22,4.22,4.22,0.001
4,Sin,AI_VECTOR_CORE,1,3.96,3.96,3.96,3.96,0.001
4,Fill,AI_VECTOR_CORE,2,3.16,1.36,1.58,1.8,0
4,ReduceAll,MIX_AIV,1,2.92,2.92,2.92,2.92,0
4,LogicalAnd,AI_VECTOR_CORE,1,1.54,1.54,1.54,1.54,0
4,LogicalNot,AI_VECTOR_CORE,1,1.48,1.48,1.48,1.48,0
